;;;II;;;;
1;9-00;10-30;I;кр 1 н.  Приборы автоматического контроля;П;Мирсаитов С.Ф.;ауд. 188.3 (С-20)
;;;II;Приборы автоматического контроля;Л;Мирсаитов С.Ф.;ауд. 183 (С-20)
2;10-40;12-10;I;кр 1 н. Спектральные и поляризационные приборы;П;Мирсаитов С.Ф.;ауд. 188.3 (С-20)
;;;II;Спектральные и поляризационные приборы;Л;Мирсаитов С.Ф.;ауд. 183 (С-20)
3;12-40;14-10;I;кр 1 н. Средства сквозного проектирования интеллектуальных измерительных  приборов;П;Мирсаитов С.Ф.;ауд. 188.3 (С-20)
;;;II;Средства сквозного проектирования интеллектуальных измерительных  приборов;Л;Мирсаитов С.Ф.;ауд. 183 (С-20)
4;14-20;15-50;I;;;;
;;;II;Средства сквозного проектирования интеллектуальных измерительных  приборов;П;Мирсаитов С.Ф.;ауд. 183 (С-20)
5;16-20;17-50;I;;;;
;;;II;;;;
6;18-00;19-30;I;;;;
;;;II;;;;
7;19-40;21-10;I;;;;
;;;II;;;;
